"Unable to save new vote. Error: %1","Unable to save new vote. Error: %1",Amasty_AdvancedReview
"Vote with specified ID ""%1"" not found.","Vote with specified ID ""%1"" not found.",Amasty_AdvancedReview
"Unable to remove vote with ID %1. Error: %2","Unable to remove vote with ID %1. Error: %2",Amasty_AdvancedReview
"Unable to remove vote. Error: %1","Unable to remove vote. Error: %1",Amasty_AdvancedReview
"%1 (Default)","%1 (Default)",Amasty_AdvancedReview
No,No,Amasty_AdvancedReview
"Yes (Instantly)","Yes (Instantly)",Amasty_AdvancedReview
"Yes (Daily)","Yes (Daily)",Amasty_AdvancedReview
Pending,Pending,Amasty_AdvancedReview
Approved,Approved,Amasty_AdvancedReview
Rejected,Rejected,Amasty_AdvancedReview
"Percent of product price discount","Percent of product price discount",Amasty_AdvancedReview
"Fixed amount discount","Fixed amount discount",Amasty_AdvancedReview
"Fixed amount discount for whole cart","Fixed amount discount for whole cart",Amasty_AdvancedReview
"Verified Buyers","От купивших этот товар",Amasty_AdvancedReview
Recommended,Recommended,Amasty_AdvancedReview
"With images","С фото",Amasty_AdvancedReview
"Once per product","Once per product",Amasty_AdvancedReview
"Once per customer","Once per customer",Amasty_AdvancedReview
"Once per order","Once per order",Amasty_AdvancedReview
"Not Logged In","Not Logged In",Amasty_AdvancedReview
Yes,Yes,Amasty_AdvancedReview
Date,Date,Amasty_AdvancedReview
Rating,Рейтинг,Amasty_AdvancedReview
Helpfulness,Самые полезные,Amasty_AdvancedReview
"Review Grid Template","Review Grid Template",Amasty_AdvancedReview
"Products Images and Names Template (vert.)","Products Images and Names Template (vert.)",Amasty_AdvancedReview
"Admin Answer Section","Admin Answer Section",Amasty_AdvancedReview
Answer,Answer,Amasty_AdvancedReview
"Send to Customer","Send to Customer",Amasty_AdvancedReview
"Customer Images","Customer Images",Amasty_AdvancedReview
"Add new images","Add new images",Amasty_AdvancedReview
"A client who already purchased the product.","A client who already purchased the product.",Amasty_AdvancedReview
Advantages,Advantages,Amasty_AdvancedReview
like_about,like_about,Amasty_AdvancedReview
Disadvantages,Disadvantages,Amasty_AdvancedReview
not_like_about,not_like_about,Amasty_AdvancedReview
"%1 people found this helpful; %2 found this unhelpful.","%1 пользователей считают этот отзыв полезным; %2 пользователей не считают этот отзыв полезным.",Amasty_AdvancedReview
"Approve for All Store Views","Approve for All Store Views",Amasty_AdvancedReview
"Are you sure?","Are you sure?",Amasty_AdvancedReview
"Add your photo","Добавьте фото к своему отзыву",Amasty_AdvancedReview
GDPR,GDPR,Amasty_AdvancedReview
"Email Address","Email Address",Amasty_AdvancedReview
"Please agree to the Privacy Policy","Please agree to the Privacy Policy",Amasty_AdvancedReview
"Please enter review images.","Please enter review images.",Amasty_AdvancedReview
"An error occurred while uploading image.","An error occurred while uploading image.",Amasty_AdvancedReview
"please kindly keep in mind that it will expire in 5 days","please kindly keep in mind that it will expire in 5 days",Amasty_AdvancedReview
"Review image","Review image",Amasty_AdvancedReview
"Remove image","Remove image",Amasty_AdvancedReview
Remove,Remove,Amasty_AdvancedReview
"Leave a review","Leave a review",Amasty_AdvancedReview
"Author: ","Author: ",Amasty_AdvancedReview
"Title: ","Title: ",Amasty_AdvancedReview
"Review: ","Review: ",Amasty_AdvancedReview
View,View,Amasty_AdvancedReview
Showing,Showing,Amasty_AdvancedReview
comments,комментарии,Amasty_AdvancedReview
"Leave your comment","Leave your comment",Amasty_AdvancedReview
Nickname*,Nickname*,Amasty_AdvancedReview
Email*,Email*,Amasty_AdvancedReview
Comment*,Comment*,Amasty_AdvancedReview
"Talk about why you like this review, or ask a question.","Talk about why you like this review, or ask a question.",Amasty_AdvancedReview
"Add Comment","Add Comment",Amasty_AdvancedReview
"Was this review helpful?","Был ли этот отзыв полезен?",Amasty_AdvancedReview
"people found this helpful","пользователей считают этот отзыв полезным",Amasty_AdvancedReview
"Customer Reviews","Customer Reviews",Amasty_AdvancedReview
"Write a review","Написать отзыв",Amasty_AdvancedReview
"Share your thoughts with other customers","Share your thoughts with other customers",Amasty_AdvancedReview
"Top customer reviews","Самые полезные отзывы",Amasty_AdvancedReview
"%1 stars","%1 stars",Amasty_AdvancedReview
"%1 star","%1 star",Amasty_AdvancedReview
"Response from store","Response from store",Amasty_AdvancedReview
Reply,Ответить,Amasty_AdvancedReview
"No reviews","No reviews",Amasty_AdvancedReview
"Sort By","Сортировать по",Amasty_AdvancedReview
"Please select an option","Пожалуйста, выберите вариант",Amasty_AdvancedReview
"Set Ascending Direction","Set Ascending Direction",Amasty_AdvancedReview
"Set Descending Direction","Set Descending Direction",Amasty_AdvancedReview
reviews,reviews,Amasty_AdvancedReview
"More info","More info",Amasty_AdvancedReview
"of customers recommend this product","of customers recommend this product",Amasty_AdvancedReview
" star"," star",Amasty_AdvancedReview
" stars"," stars",Amasty_AdvancedReview
"Review by ","Review by ",Amasty_AdvancedReview
"See all reviews","See all reviews",Amasty_AdvancedReview
"Email alert for new reviews","Email alert for new reviews",Amasty_AdvancedReview
"Hello,","Hello,",Amasty_AdvancedReview
"This is an automatic notification about new review(s) made. ","This is an automatic notification about new review(s) made. ",Amasty_AdvancedReview
Reviews:,Reviews:,Amasty_AdvancedReview
"Thank you!","Thank you!",Amasty_AdvancedReview
Hello,Hello,Amasty_AdvancedReview
"You have a new comment on your product review ","You have a new comment on your product review ",Amasty_AdvancedReview
