"Display Prev/Next buttons.","Display Prev/Next buttons.",module,Amasty_ShopbyBrand
"Infinity Loop","Infinity Loop",module,Amasty_ShopbyBrand
"Enable continuous loop mode.","Enable continuous loop mode.",module,Amasty_ShopbyBrand
"Simulate Touch","Simulate Touch",module,Amasty_ShopbyBrand
"Click and drag to change slides.","Click and drag to change slides.",module,Amasty_ShopbyBrand
"Show Pagination","Show Pagination",module,Amasty_ShopbyBrand
"Clickable Pagination","Clickable Pagination",module,Amasty_ShopbyBrand
Autoplay,Autoplay,module,Amasty_ShopbyBrand
"Autoplay Delay","Autoplay Delay",module,Amasty_ShopbyBrand
"In milliseconds.","In milliseconds.",module,Amasty_ShopbyBrand
Enable,Enable,module,Amasty_ShopbyBrand
"Displays the random products of the same brand at the bottom of the Product page","Displays the random products of the same brand at the bottom of the Product page",module,Amasty_ShopbyBrand
"Max Product Count","Max Product Count",module,Amasty_ShopbyBrand
"Please set the quantity of the products displayed. Default value is 7","Please set the quantity of the products displayed. Default value is 7",module,Amasty_ShopbyBrand
"Product Page Brand Settings","Product Page Brand Settings",module,Amasty_ShopbyBrand
"Display Brand Logo on Product Page","Display Brand Logo on Product Page",module,Amasty_ShopbyBrand
"Display Short Description on Product Page","Display Short Description on Product Page",module,Amasty_ShopbyBrand
"Displays Brand short description together with the Brand logo on the product page","Displays Brand short description together with the Brand logo on the product page",module,Amasty_ShopbyBrand
"Brand Logo Width, px","Brand Logo Width, px",module,Amasty_ShopbyBrand
"Brand Logo Height, px","Brand Logo Height, px",module,Amasty_ShopbyBrand
"Product Listing Brand Settings","Product Listing Brand Settings",module,Amasty_ShopbyBrand
"Display Brand Logo on Product Listing","Display Brand Logo on Product Listing",module,Amasty_ShopbyBrand
"Note. Please enable ""Used in Product Listing"" setting for brand attribute.","Note. Please enable ""Used in Product Listing"" setting for brand attribute.",module,Amasty_ShopbyBrand
"Brand Logo Width","Brand Logo Width",module,Amasty_ShopbyBrand
"Please specify the value in pixels (e.g. 10) or percent (e.g. 10%). Leave empty to use default image size.","Please specify the value in pixels (e.g. 10) or percent (e.g. 10%). Leave empty to use default image size.",module,Amasty_ShopbyBrand
"Brand Logo Height","Brand Logo Height",module,Amasty_ShopbyBrand
